Year,Month,Dekad,Rainfall(mm),Average(mm)
2009,7,3,8.4895,20.3294
2009,8,1,7.3298,15.5339
2009,8,2,13.0842,16.7419
2009,8,3,10.7921,19.9081
2009,9,1,7.641,11.5402
2009,9,2,10.7323,9.6345
2009,9,3,7.6677,9.6769
2009,10,1,18.9524,13.2087
2009,10,2,14.8389,15.5893
2009,10,3,14.0707,19.6413
2009,11,1,17.7352,24.6364
2009,11,2,19.0666,21.5681
2009,11,3,10.8696,22.5113
2009,12,1,16.0382,16.811
2009,12,2,44.5098,16.9599
2009,12,3,50.5885,18.3763
2010,1,1,32.5091,9.049
2010,1,2,3.3476,10.2445
2010,1,3,3.9459,9.7117
2010,2,1,10.3619,8.6781
2010,2,2,27.9829,11.6488
2010,2,3,38.4797,8.7773
2010,3,1,43.6354,20.7857
2010,3,2,12.7106,22.0756
2010,3,3,82.4829,30.5914
2010,4,1,21.1799,38.0823
2010,4,2,33.7809,34.4192
2010,4,3,42.8278,39.6816
2010,5,1,30.2136,30.9658
2010,5,2,58.8535,24.8583
2010,5,3,19.4643,20.1955
2010,6,1,14.6208,16.7653
2010,6,2,15.0302,14.9757
2010,6,3,9.535,13.2858
2010,7,1,12.7279,14.7383
2010,7,2,9.3312,15.8419
2010,7,3,25.7404,20.3294
2010,8,1,11.3606,15.5339
2010,8,2,13.5748,16.7419
2010,8,3,30.2072,19.9081
2010,9,1,11.2709,11.5402
2010,9,2,16.5942,9.6345
2010,9,3,8.4857,9.6769
2010,10,1,14.0484,13.2087
2010,10,2,16.3526,15.5893
2010,10,3,17.3894,19.6413
2010,11,1,17.7088,24.6364
2010,11,2,11.2782,21.5681
2010,11,3,10.5253,22.5113
2010,12,1,18.1297,16.811
2010,12,2,4.9515,16.9599
2010,12,3,11.1367,18.3763
2011,1,1,3.5462,9.049
2011,1,2,5.7948,10.2445
2011,1,3,3.7768,9.7117
2011,2,1,3.5451,8.6781
2011,2,2,20.4156,11.6488
2011,2,3,2.4019,8.7773
2011,3,1,8.0414,20.7857
2011,3,2,45.392,22.0756
2011,3,3,22.4449,30.5914
2011,4,1,7.5792,38.0823
2011,4,2,8.833,34.4192
2011,4,3,31.076,39.6816
2011,5,1,30.4975,30.9658
2011,5,2,11.0496,24.8583
2011,5,3,16.419,20.1955
2011,6,1,14.1356,16.7653
2011,6,2,24.05,14.9757
2011,6,3,17.8219,13.2858
2011,7,1,18.6347,14.7383
2011,7,2,12.8003,15.8419
2011,7,3,34.4941,20.3294
2011,8,1,18.7457,15.5339
2011,8,2,33.6594,16.7419
2011,8,3,27.0516,19.9081
2011,9,1,23.6618,11.5402
2011,9,2,10.906,9.6345
2011,9,3,12.1652,9.6769
2011,10,1,9.8426,13.2087
2011,10,2,20.3481,15.5893
2011,10,3,40.1743,19.6413
2011,11,1,62.8958,24.6364
2011,11,2,16.0084,21.5681
2011,11,3,71.7532,22.5113
2011,12,1,34.9117,16.811
2011,12,2,10.8251,16.9599
2011,12,3,7.3017,18.3763
2012,1,1,2.2268,9.049
2012,1,2,3.146,10.2445
2012,1,3,2.3767,9.7117
2012,2,1,2.4374,8.6781
2012,2,2,3.2957,11.6488
2012,2,3,9.8342,8.7773
2012,3,1,23.6315,20.7857
2012,3,2,4.1072,22.0756
2012,3,3,7.326,30.5914
2012,4,1,35.8622,38.0823
2012,4,2,64.4288,34.4192
2012,4,3,93.435,39.6816
2012,5,1,71.6094,30.9658
2012,5,2,33.9333,24.8583
2012,5,3,23.5453,20.1955
2012,6,1,19.3465,16.7653
2012,6,2,7.525,14.9757
2012,6,3,24.4961,13.2858
2012,7,1,21.2923,14.7383
2012,7,2,13.4798,15.8419
2012,7,3,34.4591,20.3294
2012,8,1,18.8205,15.5339
2012,8,2,22.3253,16.7419
2012,8,3,23.3135,19.9081
2012,9,1,26.252,11.5402
2012,9,2,11.0289,9.6345
2012,9,3,13.035,9.6769
2012,10,1,14.2943,13.2087
2012,10,2,24.0418,15.5893
2012,10,3,33.5667,19.6413
2012,11,1,43.7655,24.6364
2012,11,2,12.4247,21.5681
2012,11,3,13.8239,22.5113
2012,12,1,13.9183,16.811
2012,12,2,16.5225,16.9599
2012,12,3,54.2677,18.3763
2013,1,1,7.8355,9.049
2013,1,2,3.7564,10.2445
2013,1,3,15.4547,9.7117
2013,2,1,8.9802,8.6781
2013,2,2,2.8046,11.6488
2013,2,3,2.013,8.7773
2013,3,1,15.0236,20.7857
2013,3,2,32.3173,22.0756
2013,3,3,62.0494,30.5914
2013,4,1,81.3753,38.0823
2013,4,2,81.2056,34.4192
2013,4,3,36.3696,39.6816
2013,5,1,38.9193,30.9658
2013,5,2,9.5182,24.8583
2013,5,3,11.652,20.1955
2013,6,1,14.306,16.7653
2013,6,2,23.8897,14.9757
2013,6,3,6.7057,13.2858
2013,7,1,11.8562,14.7383
2013,7,2,18.8856,15.8419
2013,7,3,27.4268,20.3294
2013,8,1,10.7832,15.5339
2013,8,2,29.833,16.7419
2013,8,3,18.2791,19.9081
2013,9,1,13.5193,11.5402
2013,9,2,14.4686,9.6345
2013,9,3,15.7229,9.6769
2013,10,1,20.9713,13.2087
2013,10,2,6.9035,15.5893
2013,10,3,13.2248,19.6413
2013,11,1,25.934,24.6364
2013,11,2,24.6138,21.5681
2013,11,3,15.8251,22.5113
2013,12,1,14.7996,16.811
2013,12,2,44.0384,16.9599
2013,12,3,7.3426,18.3763
2014,1,1,3.2625,9.049
2014,1,2,6.0846,10.2445
2014,1,3,3.0323,9.7117
2014,2,1,15.5312,8.6781
2014,2,2,27.7628,11.6488
2014,2,3,3.7753,8.7773
2014,3,1,4.1904,20.7857
2014,3,2,55.806,22.0756
2014,3,3,25.4317,30.5914
2014,4,1,26.1401,38.0823
2014,4,2,15.7095,34.4192
2014,4,3,9.2916,39.6816
2014,5,1,20.9292,30.9658
2014,5,2,13.9545,24.8583
2014,5,3,16.343,20.1955
2014,6,1,16.1727,16.7653
2014,6,2,14.3792,14.9757
2014,6,3,7.7841,13.2858
2014,7,1,16.2016,14.7383
2014,7,2,10.4441,15.8419
2014,7,3,20.1622,20.3294
2014,8,1,17.2305,15.5339
2014,8,2,13.3601,16.7419
2014,8,3,43.5071,19.9081
2014,9,1,16.5025,11.5402
2014,9,2,6.1879,9.6345
2014,9,3,7.2504,9.6769
2014,10,1,15.9574,13.2087
2014,10,2,30.2632,15.5893
2014,10,3,12.1745,19.6413
2014,11,1,13.3904,24.6364
2014,11,2,21.1995,21.5681
2014,11,3,24.8506,22.5113
2014,12,1,22.6883,16.811
2014,12,2,8.9152,16.9599
2014,12,3,14.4168,18.3763
2015,1,1,2.4063,9.049
2015,1,2,2.1834,10.2445
2015,1,3,2.517,9.7117
2015,2,1,1.9015,8.6781
2015,2,2,15.3328,11.6488
2015,2,3,2.1306,8.7773
2015,3,1,8.3797,20.7857
2015,3,2,4.589,22.0756
2015,3,3,20.6656,30.5914
2015,4,1,74.4256,38.0823
2015,4,2,48.6815,34.4192
2015,4,3,42.9552,39.6816
2015,5,1,36.5498,30.9658
2015,5,2,20.2939,24.8583
2015,5,3,21.0089,20.1955
2015,6,1,19.2812,16.7653
2015,6,2,22.6183,14.9757
2015,6,3,8.1324,13.2858
2015,7,1,8.1972,14.7383
2015,7,2,8.9798,15.8419
2015,7,3,18.4611,20.3294
2015,8,1,10.9099,15.5339
2015,8,2,6.3355,16.7419
2015,8,3,6.5496,19.9081
2015,9,1,10.8465,11.5402
2015,9,2,5.4691,9.6345
2015,9,3,7.9168,9.6769
2015,10,1,10.4424,13.2087
2015,10,2,12.3141,15.5893
2015,10,3,28.8954,19.6413
2015,11,1,44.9413,24.6364
2015,11,2,37.9902,21.5681
2015,11,3,21.81,22.5113
2015,12,1,21.9809,16.811
2015,12,2,43.4607,16.9599
2015,12,3,9.3357,18.3763
2016,1,1,7.508,9.049
2016,1,2,30.3103,10.2445
2016,1,3,9.1979,9.7117
2016,2,1,6.134,8.6781
2016,2,2,5.3087,11.6488
2016,2,3,5.2229,8.7773
2016,3,1,35.7095,20.7857
2016,3,2,5.2173,22.0756
2016,3,3,8.581,30.5914
2016,4,1,56.4545,38.0823
2016,4,2,39.0416,34.4192
2016,4,3,63.7318,39.6816
2016,5,1,46.7357,30.9658
2016,5,2,27.4845,24.8583
2016,5,3,11.9657,20.1955
2016,6,1,10.1783,16.7653
2016,6,2,14.212,14.9757
2016,6,3,19.2275,13.2858
2016,7,1,11.7595,14.7383
2016,7,2,14.4094,15.8419
2016,7,3,18.1431,20.3294
2016,8,1,15.7316,15.5339
2016,8,2,7.5352,16.7419
2016,8,3,9.1745,19.9081
2016,9,1,5.1599,11.5402
2016,9,2,8.0751,9.6345
2016,9,3,12.2646,9.6769
2016,10,1,15.598,13.2087
2016,10,2,7.3867,15.5893
2016,10,3,10.7948,19.6413
2016,11,1,16.3162,24.6364
2016,11,2,19.897,21.5681
2016,11,3,25.6383,22.5113
2016,12,1,6.8219,16.811
2016,12,2,4.982,16.9599
2016,12,3,6.2584,18.3763
2017,1,1,3.177,9.049
2017,1,2,3.0114,10.2445
2017,1,3,9.9582,9.7117
2017,2,1,4.6767,8.6781
2017,2,2,10.9215,11.6488
2017,2,3,20.4665,8.7773
2017,3,1,7.7766,20.7857
2017,3,2,9.6963,22.0756
2017,3,3,18.4779,30.5914
2017,4,1,13.1611,38.0823
2017,4,2,23.758,34.4192
2017,4,3,24.9172,39.6816
2017,5,1,30.0043,30.9658
2017,5,2,18.0603,24.8583
2017,5,3,21.1395,20.1955
2017,6,1,11.5578,16.7653
2017,6,2,8.3398,14.9757
2017,6,3,11.182,13.2858
2017,7,1,25.4145,14.7383
2017,7,2,41.7361,15.8419
2017,7,3,34.6724,20.3294
2017,8,1,22.3724,15.5339
2017,8,2,12.3014,16.7419
2017,8,3,28.5789,19.9081
2017,9,1,19.998,11.5402
2017,9,2,15.4982,9.6345
2017,9,3,10.8788,9.6769
2017,10,1,7.6795,13.2087
2017,10,2,50.3421,15.5893
2017,10,3,21.6908,19.6413
2017,11,1,41.2912,24.6364
2017,11,2,16.4507,21.5681
2017,11,3,13.4229,22.5113
2017,12,1,11.0732,16.811
2017,12,2,5.5948,16.9599
2017,12,3,5.3403,18.3763
2018,1,1,12.4752,9.049
2018,1,2,4.5416,10.2445
2018,1,3,6.2066,9.7117
2018,2,1,3.3895,8.6781
2018,2,2,4.7259,11.6488
2018,2,3,8.2216,8.7773
2018,3,1,64.0944,20.7857
2018,3,2,85.2878,22.0756
2018,3,3,20.7154,30.5914
2018,4,1,67.3854,38.0823
2018,4,2,111.0312,34.4192
2018,4,3,73.3,39.6816
2018,5,1,48.6552,30.9658
2018,5,2,43.9615,24.8583
2018,5,3,49.275,20.1955
2018,6,1,42.257,16.7653
